Instruções;Ciclos;Cache_References;Cache_Misses;Branches;Tempo_Execucao;Instrucoes_por_Ciclo
37.372.984.406;32.855.123.798;155.777;9.391;9.511.710.788;13;1.13748
37.372.984.145;32.855.544.754;152.047;31.128;9.511.710.575;13;1.13748
37.372.984.558;32.857.275.549;150.240;32.320;9.511.710.998;13;1.13741
37.372.984.576;32.857.119.002;155.320;32.535;9.511.710.958;13;1.13741
37.372.984.382;32.856.579.961;157.987;31.419;9.511.710.784;13;1.13745
37.372.984.315;32.868.357.732;168.854;31.662;9.511.710.725;13;1.13703
37.372.984.485;32.851.384.923;161.047;30.448;9.511.710.905;13;1.13762
37.372.984.460;32.857.070.298;152.108;31.431;9.511.710.862;13;1.13741
37.372.984.342;32.857.082.776;159.023;31.240;9.511.710.719;13;1.13741
37.372.984.515;32.855.655.220;156.370;29.796;9.511.710.895;13;1.13748
37.372.984.626;32.876.335.061;158.239;27.937;9.511.711.018;13;1.13676
37.372.984.641;32.856.396.664;151.231;31.276;9.511.711.023;13;1.13745
37.372.984.544;32.855.005.035;150.939;30.079;9.511.710.954;13;1.13748
37.372.984.180;32.855.394.440;154.743;29.936;9.511.710.582;13;1.13748
37.372.984.364;32.865.039.992;159.076;30.685;9.511.710.756;13;1.13714
37.372.984.111;32.854.971.397;155.670;31.383;9.511.710.541;13;1.13752
37.372.984.578;32.866.002.584;160.716;31.231;9.511.710.980;13;1.1371
37.372.984.203;32.856.621.463;157.693;31.132;9.511.710.585;13;1.13745
37.372.984.296;32.855.646.336;149.518;30.216;9.511.710.678;13;1.13748
37.372.984.400;32.865.350.247;165.169;30.719;9.511.710.830;13;1.13714
