Instruções;Ciclos;Cache_References;Cache_Misses;Branches;Tempo_Execucao;Instrucoes_por_Ciclo
126.540.528.993;148.956.145.792;15.986;1.918;2.720.136.526;62;0.849513
4.748.666.016.701;5.327.300.695.792;979.592;26.367;530.733.836.030;2191;0.891308
126.540.528.023;146.596.972.107;64.089;1.918;2.720.135.556;61;0.863189
126.540.538.517;171.550.457.463;16.678;1.937;2.720.146.032;71;0.737628
126.540.528.024;146.599.507.117;19.245;3.327;2.720.135.557;61;0.863171
126.540.537.526;169.283.048.931;16.834;1.904;2.720.145.055;70;0.747506
126.540.528.013;146.598.600.427;23.177;2.339;2.720.135.556;61;0.863177
126.540.529.457;150.064.026.084;171.439;1.984;2.720.136.980;62;0.84324
126.540.528.034;146.597.899.880;17.100;2.177;2.720.135.561;61;0.863183
126.540.529.866;151.076.092.211;26.271;1.897;2.720.137.409;63;0.837592
126.540.528.034;146.599.070.018;40.156;2.279;2.720.135.561;61;0.863171
126.540.528.324;147.482.112.807;17.114;2.140;2.720.135.895;61;0.858003
126.540.527.994;146.596.182.788;18.652;2.645;2.720.135.527;61;0.863189
126.540.528.938;148.771.507.949;19.794;2.461;2.720.136.471;62;0.850569
126.540.528.078;146.600.286.584;23.028;5.716;2.720.135.631;61;0.863165
126.540.528.224;146.798.407.881;21.274;2.737;2.720.135.787;61;0.862001
126.540.528.057;146.597.335.807;18.033;4.206;2.720.135.600;61;0.863183
126.540.528.508;147.442.442.776;22.088;3.436;2.720.136.051;61;0.858236
126.540.528.128;146.611.613.846;21.872;6.916;2.720.135.671;61;0.8631
126.540.528.026;146.596.172.431;16.480;3.069;2.720.135.559;61;0.863189
126.540.528.258;146.603.150.581;27.449;5.767;2.720.135.791;61;0.863147
126.540.528.201;146.642.570.995;20.713;4.381;2.720.135.744;61;0.862918
126.540.528.066;146.595.615.691;17.730;4.137;2.720.135.609;61;0.863195
126.540.528.282;146.610.728.066;28.697;3.257;2.720.135.809;61;0.863106
126.540.528.188;146.612.392.967;376.505;2.826;2.720.135.769;61;0.863094
126.540.528.187;146.806.229.616;20.643;4.126;2.720.135.730;61;0.861954
126.540.528.184;146.698.755.533;48.083;2.761;2.720.135.765;61;0.862588
126.540.528.104;146.595.883.148;20.877;3.333;2.720.135.637;61;0.863195
126.540.528.283;147.103.250.767;39.196;2.930;2.720.135.826;61;0.860214
126.540.528.228;146.600.958.039;23.460;7.099;2.720.135.759;61;0.863165
126.540.528.246;146.795.020.677;28.765;17.818;2.720.135.779;61;0.862018
