Instruções;Ciclos;Cache_References;Cache_Misses;Branches;Tempo_Execucao;Instrucoes_por_Ciclo
142.420.291.709;60.944.200.853;318.465;68.688;22.517.359.259;58;2.3369
142.420.291.508;60.178.633.907;281.737;70.489;22.517.359.058;56;2.36665
142.420.292.042;61.765.478.255;290.943;66.431;22.517.359.614;61;2.30584
142.420.291.873;60.097.897.604;322.274;71.775;22.517.359.443;57;2.36984
142.420.293.705;64.512.613.085;286.543;71.986;22.517.361.245;59;2.20765
142.420.291.448;60.083.412.333;277.531;68.966;22.517.358.998;56;2.37039
142.420.292.367;60.921.833.540;334.165;58.339;22.517.359.945;57;2.33778
142.420.291.668;60.825.086.247;317.189;65.870;22.517.359.208;57;2.34147
142.420.291.719;60.081.720.218;299.573;70.841;22.517.359.289;57;2.37047
142.420.291.840;60.905.867.692;331.178;53.644;22.517.359.380;57;2.3384
142.420.291.714;60.746.527.551;309.168;60.492;22.517.359.274;57;2.34452
142.420.291.837;60.103.966.163;337.040;60.829;22.517.359.387;58;2.3696
3.310.672.930.502;1.577.707.177.523;51.868.666.272;970.479;480.688.692.247;1184;2.09892
3.310.672.931.131;1.580.629.298.169;51.880.165.702;1.083.871;480.688.692.894;1159;2.09494
142.420.292.300;61.137.296.986;351.523;74.571;22.517.359.840;58;2.32952
142.420.291.878;60.253.258.795;421.523;89.722;22.517.359.412;59;2.3637
142.420.292.388;62.213.417.737;317.797;78.053;22.517.359.960;60;2.28923
142.420.291.644;60.125.639.781;301.756;64.024;22.517.359.194;57;2.36873
142.420.292.078;61.268.627.275;341.592;66.105;22.517.359.618;59;2.32454
142.420.292.254;60.908.939.272;309.964;58.958;22.517.359.798;57;2.33828
142.420.291.975;60.834.710.820;291.665;74.401;22.517.359.525;59;2.34113
142.420.291.724;60.020.930.802;351.159;73.283;22.517.359.302;57;2.37288
142.420.291.985;60.474.911.153;317.404;63.561;22.517.359.535;57;2.35506
142.420.291.925;60.908.240.053;289.021;69.101;22.517.359.465;59;2.33828
142.420.291.885;60.066.826.637;334.994;65.428;22.517.359.453;57;2.37106
142.420.292.570;63.111.455.477;490.341;188.126;22.517.360.130;58;2.25666
142.420.291.283;59.954.037.182;282.835;65.295;22.517.358.823;58;2.37549
142.420.291.674;60.203.510.312;331.689;80.630;22.517.359.208;58;2.36566
142.420.291.750;60.694.492.612;309.048;91.534;22.517.359.290;57;2.34653
142.420.292.036;60.938.214.348;337.056;98.485;22.517.359.586;57;2.33713
142.420.291.919;61.243.246.585;346.587;151.557;22.517.359.497;60;2.32549
142.420.291.885;60.386.803.512;317.236;80.702;22.517.359.435;57;2.35849
142.420.291.737;60.180.889.572;415.626;188.611;22.517.359.277;59;2.36657
142.420.291.705;60.027.427.458;314.244;80.463;22.517.359.255;54;2.3726
142.420.291.720;59.930.282.065;292.109;63.916;22.517.359.260;57;2.37644
142.420.291.211;60.093.444.781;291.091;66.690;22.517.358.789;55;2.36999
142.420.292.058;60.621.625.726;283.236;70.563;22.517.359.598;57;2.34935
142.420.291.773;60.035.685.597;287.518;69.213;22.517.359.313;57;2.37228
142.420.291.911;60.466.104.102;289.486;72.358;22.517.359.451;57;2.35537
142.420.291.777;60.123.081.186;289.700;67.701;22.517.359.337;58;2.36881
142.420.291.478;60.158.723.953;277.728;71.854;22.517.359.058;57;2.36743
142.420.291.706;60.698.254.690;298.274;67.318;22.517.359.256;56;2.34637
142.420.291.485;60.059.389.361;319.906;88.570;22.517.359.073;58;2.37133
142.420.291.482;60.090.960.571;386.680;146.858;22.517.359.042;57;2.37011
3.310.672.930.550;1.580.926.493.684;51.874.601.966;1.298.543;480.688.692.313;1150;2.09494
142.420.291.333;60.965.879.732;345.467;83.370;22.517.358.921;59;2.33609
142.420.291.666;60.866.698.613;279.211;66.489;22.517.359.216;58;2.33989
142.420.291.785;60.627.073.209;287.582;67.413;22.517.359.329;57;2.34912
