Instruções;Ciclos;Cache_References;Cache_Misses;Branches;Tempo_Execucao;Instrucoes_por_Ciclo
43.248;130.597;1.279;51;10.762;0;0.331156
43.248;132.905;1.338;72;10.762;0;0.325405
43.248;133.695;1.343;40;10.762;0;0.323483
43.248;134.565;1.504;34;10.762;0;0.321391
43.248;132.070;1.321;29;10.762;0;0.327463
43.248;129.827;1.370;22;10.762;0;0.33312
43.248;131.914;1.338;18;10.762;0;0.32785
43.248;132.429;1.333;17;10.762;0;0.326575
43.248;134.412;1.369;53;10.762;0;0.321757
43.247;133.567;1.391;24;10.761;0;0.323785
43.248;129.788;1.271;26;10.762;0;0.33322
43.247;126.741;1.244;15;10.761;0;0.341223
43.248;131.046;1.306;11;10.762;0;0.330022
43.248;131.726;1.350;17;10.762;0;0.328318
43.248;133.406;1.277;51;10.762;0;0.324183
43.248;131.019;1.446;16;10.762;0;0.33009
43.248;128.918;1.330;29;10.762;0;0.335469
43.248;131.064;1.328;19;10.762;0;0.329976
43.248;131.664;1.361;17;10.762;0;0.328472
43.248;131.785;1.391;14;10.762;0;0.328171
