Instruções;Ciclos;Cache_References;Cache_Misses;Branches;Tempo_Execucao;Instrucoes_por_Ciclo
123.558.197.251;73.296.448.087;127.018;19.302;9.984.998.853;30;1.68574
123.558.197.965;74.087.499.479;149.891;34.802;9.984.999.551;30;1.66774
123.558.197.263;73.318.886.698;162.972;11.282;9.984.998.855;30;1.68523
123.558.198.177;74.711.410.982;180.388;26.655;9.984.999.795;31;1.65381
123.558.198.114;73.750.067.627;189.485;40.550;9.984.999.734;30;1.67536
123.558.197.305;73.385.351.886;110.969;10.778;9.984.998.897;30;1.6837
123.558.197.689;74.137.357.602;144.623;26.572;9.984.999.281;30;1.66662
123.558.198.554;74.217.491.803;190.830;15.234;9.985.000.174;31;1.66482
123.558.197.611;73.453.510.754;123.082;18.690;9.984.999.241;30;1.68214
123.558.198.483;73.354.111.772;136.993;19.431;9.985.000.085;30;1.68441
123.558.198.691;73.776.436.628;159.557;19.325;9.985.000.287;30;1.67477
123.558.198.468;75.990.308.957;134.511;31.460;9.985.000.048;31;1.62598
123.558.197.978;74.246.120.672;589.819;19.175;9.984.999.598;31;1.66417
123.558.197.073;72.831.444.051;116.134;8.953;9.984.998.665;30;1.6965
123.558.197.477;73.751.655.704;145.162;23.665;9.984.999.079;30;1.67534
123.558.197.526;73.886.725.392;163.844;6.954;9.984.999.128;30;1.67228
123.558.196.699;73.229.743.385;158.470;51.199;9.984.998.321;30;1.68728
123.558.197.413;75.049.973.630;2.281.184;54.439;9.984.999.023;31;1.64636
123.558.197.132;73.384.238.354;119.658;52.891;9.984.998.734;30;1.68372
123.558.196.617;73.246.642.833;175.322;6.419;9.984.998.209;30;1.68689
