Instruções;Ciclos;Cache_References;Cache_Misses;Branches;Tempo_Execucao;Instrucoes_por_Ciclo
42.978;130.322;1.246;37;10.686;0;0.329783
42.979;134.546;1.324;41;10.687;0;0.319437
42.979;125.853;1.300;15;10.687;0;0.341502
42.979;137.346;1.356;60;10.687;0;0.312925
42.979;132.474;1.370;42;10.687;0;0.324433
42.979;136.270;1.396;41;10.687;0;0.315396
42.978;129.781;1.366;17;10.686;0;0.331158
42.979;130.944;1.257;22;10.687;0;0.328224
42.980;130.959;1.369;12;10.688;0;0.328194
42.979;129.856;1.318;37;10.687;0;0.330974
42.979;132.943;1.377;18;10.687;0;0.323289
42.979;133.458;1.383;53;10.687;0;0.322041
42.979;133.430;1.396;54;10.687;0;0.322109
42.979;134.831;1.441;46;10.687;0;0.318762
42.979;134.127;1.445;42;10.687;0;0.320435
42.979;128.562;1.321;49;10.687;0;0.334306
42.979;132.085;1.295;25;10.687;0;0.325389
42.979;132.850;1.367;24;10.687;0;0.323515
42.979;131.569;1.271;61;10.687;0;0.326665
42.979;133.777;1.371;50;10.687;0;0.321273
